symbol,strategy,n_trades,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,profit_factor,avg_win_pct,avg_loss_pct
BTCUSDC,MOM,0,,0.0,0.0,,,,
BNBUSDC,MOM,0,,0.0,0.0,,,,
SOLUSDC,MOM,1,0.0,-2.29,-2.29,-2.014,0.0,,-2.294
ETHUSDC,MOM,1,0.0,-2.29,-2.93,-2.555,0.0,,-2.294
ADAUSDC,MOM,1,0.0,-2.29,-2.59,-2.796,0.0,,-2.294
BNBUSDC,MACD,54,31.48,-23.19,-31.5,-2.342,0.7,3.561,-2.294
BNBUSDC,BOLL,54,31.48,-24.07,-32.32,-2.582,0.689,3.493,-2.294
BTCUSDC,RSI,39,28.21,-24.74,-36.02,-2.943,0.538,3.383,-2.294
SOLUSDC,RSI,98,33.67,-25.65,-41.23,-1.999,0.786,3.688,-2.269
BNBUSDC,RSI,53,30.19,-26.18,-32.18,-2.862,0.656,3.531,-2.294
BNBUSDC,EMA,62,30.65,-28.1,-35.42,-3.059,0.682,3.578,-2.294
BTCUSDC,BOLL,54,29.63,-28.62,-36.23,-3.45,0.595,3.466,-2.294
SOLUSDC,BOLL,111,34.23,-29.02,-41.44,-2.319,0.784,3.62,-2.294
BTCUSDC,EMA,58,29.31,-30.75,-38.8,-3.698,0.586,3.497,-2.294
BTCUSDC,MACD,53,28.3,-31.17,-37.69,-3.761,0.547,3.449,-2.294
ETHUSDC,EMA,72,29.17,-32.97,-44.44,-2.942,0.611,3.688,-2.25
ETHUSDC,BOLL,78,29.49,-37.85,-47.35,-3.664,0.582,3.544,-2.294
ETHUSDC,MACD,76,28.95,-38.81,-47.7,-3.741,0.562,3.526,-2.294
ETHUSDC,RSI,79,29.11,-39.43,-50.2,-3.856,0.565,3.533,-2.294
SOLUSDC,EMA,98,29.59,-41.23,-47.52,-3.775,0.637,3.688,-2.266
SOLUSDC,MACD,110,30.91,-43.14,-49.62,-3.716,0.656,3.59,-2.294
ADAUSDC,BOLL,139,30.22,-53.3,-60.73,-4.161,0.636,3.611,-2.294
ADAUSDC,RSI,132,28.79,-56.5,-61.55,-4.584,0.588,3.614,-2.294
ADAUSDC,EMA,145,28.28,-61.41,-65.49,-4.942,0.577,3.628,-2.294
ADAUSDC,MACD,153,28.76,-62.01,-66.85,-4.54,0.574,3.613,-2.294
