symbol,strategy,n_trades,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,profit_factor,avg_win_pct,avg_loss_pct
BNBUSDC,MOM,0,,0.0,0.0,,,,
ADAUSDC,MOM,3,33.33,-1.01,-3.97,-0.517,0.781,3.688,-2.294
SOLUSDC,MOM,2,0.0,-4.53,-4.53,-3.822,0.0,,-2.294
BTCUSDC,MOM,2,0.0,-4.53,-4.6,-3.535,0.0,,-2.294
ETHUSDC,MOM,3,0.0,-6.72,-7.68,-3.599,0.0,,-2.294
ETHUSDC,RSI,72,33.33,-24.33,-30.83,-3.559,0.735,3.542,-2.294
SOLUSDC,BOLL,84,33.33,-24.38,-27.92,-2.746,0.777,3.688,-2.284
BNBUSDC,RSI,38,23.68,-27.66,-29.17,-5.848,0.51,3.688,-2.215
BNBUSDC,MACD,36,22.22,-28.73,-30.19,-6.15,0.453,3.688,-2.219
SOLUSDC,EMA,75,30.67,-29.99,-32.61,-3.456,0.686,3.688,-2.261
BNBUSDC,BOLL,35,20.0,-31.13,-32.58,-6.743,0.415,3.688,-2.212
ETHUSDC,EMA,68,29.41,-31.14,-31.9,-4.85,0.642,3.688,-2.26
ADAUSDC,EMA,86,31.4,-31.44,-36.26,-3.034,0.703,3.688,-2.271
SOLUSDC,RSI,84,30.95,-32.86,-37.07,-3.701,0.689,3.688,-2.284
SOLUSDC,MACD,82,30.49,-32.91,-35.56,-4.049,0.681,3.688,-2.263
BNBUSDC,EMA,31,16.13,-33.03,-34.07,-6.186,0.307,3.688,-2.213
ETHUSDC,BOLL,73,28.77,-34.8,-37.4,-5.119,0.605,3.688,-2.259
ETHUSDC,MACD,73,28.77,-34.83,-35.56,-4.939,0.619,3.688,-2.26
ADAUSDC,RSI,85,29.41,-37.12,-40.18,-3.535,0.635,3.688,-2.256
ADAUSDC,MACD,92,30.43,-37.2,-40.5,-3.532,0.66,3.688,-2.285
ADAUSDC,BOLL,92,29.35,-39.88,-43.13,-3.754,0.624,3.688,-2.261
BTCUSDC,EMA,52,19.23,-44.65,-45.11,-7.998,0.395,3.688,-2.245
BTCUSDC,BOLL,51,19.61,-46.48,-47.0,-8.616,0.333,3.322,-2.294
BTCUSDC,MACD,52,17.31,-47.8,-48.24,-9.125,0.336,3.688,-2.244
BTCUSDC,RSI,52,17.31,-50.72,-51.05,-9.799,0.306,3.281,-2.294
