symbol,strategy,interval,indicator_params,exit_mode,exit_params,n_trades,win_rate_pct,total_return_pct,max_drawdown_pct,sharpe,profit_factor,avg_win_pct,avg_loss_pct
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 70}",flat,"{""sl_pct"": 2.0, ""tp_pct"": 4.0}",45,31.11,-21.74,-32.41,-2.665,0.639,3.449,-2.294
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 70}",flat,"{""sl_pct"": 1.0, ""tp_pct"": 2.0}",134,29.1,-45.0,-48.36,-7.124,0.518,1.66,-1.297
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 70}",flat,"{""sl_pct"": 3.0, ""tp_pct"": 6.0}",23,30.43,-18.16,-30.32,-2.181,0.605,4.918,-3.291
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 1.0, ""tp_mult"": 2.0}",899,2.45,-92.67,-92.69,-36.227,0.006,0.099,-0.3
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 1.5, ""tp_mult"": 3.0}",823,6.56,-90.95,-90.99,-37.905,0.027,0.137,-0.321
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 2.0, ""tp_mult"": 4.0}",753,10.62,-89.51,-89.56,-35.578,0.055,0.171,-0.355
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 80}",flat,"{""sl_pct"": 2.0, ""tp_pct"": 4.0}",45,31.11,-21.74,-32.41,-2.665,0.639,3.449,-2.294
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 80}",flat,"{""sl_pct"": 1.0, ""tp_pct"": 2.0}",134,29.1,-45.0,-48.36,-7.124,0.518,1.66,-1.297
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 80}",flat,"{""sl_pct"": 3.0, ""tp_pct"": 6.0}",23,30.43,-18.16,-30.32,-2.181,0.605,4.918,-3.291
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 80}",atr,"{""atr_window"": 14, ""sl_mult"": 1.0, ""tp_mult"": 2.0}",899,2.45,-92.67,-92.69,-36.227,0.006,0.099,-0.3
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 80}",atr,"{""atr_window"": 14, ""sl_mult"": 1.5, ""tp_mult"": 3.0}",823,6.56,-90.95,-90.99,-37.905,0.027,0.137,-0.321
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 20, ""sell_threshold"": 80}",atr,"{""atr_window"": 14, ""sl_mult"": 2.0, ""tp_mult"": 4.0}",753,10.62,-89.51,-89.56,-35.578,0.055,0.171,-0.355
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 70}",flat,"{""sl_pct"": 2.0, ""tp_pct"": 4.0}",42,23.81,-30.82,-37.5,-4.091,0.474,3.688,-2.257
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 70}",flat,"{""sl_pct"": 1.0, ""tp_pct"": 2.0}",175,28.0,-56.63,-58.16,-7.881,0.474,1.665,-1.297
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 70}",flat,"{""sl_pct"": 3.0, ""tp_pct"": 6.0}",21,23.81,-21.77,-33.39,-2.618,0.507,5.682,-3.209
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 1.0, ""tp_mult"": 2.0}",3859,1.66,-100.0,-100.0,-70.13,0.001,0.083,-0.302
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 1.5, ""tp_mult"": 3.0}",3211,5.08,-99.99,-99.99,-69.637,0.008,0.129,-0.318
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 2.0, ""tp_mult"": 4.0}",2693,8.39,-99.97,-99.97,-62.255,0.026,0.171,-0.34
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 80}",flat,"{""sl_pct"": 2.0, ""tp_pct"": 4.0}",42,23.81,-30.82,-37.5,-4.091,0.474,3.688,-2.257
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 80}",flat,"{""sl_pct"": 1.0, ""tp_pct"": 2.0}",175,28.0,-56.63,-58.16,-7.881,0.474,1.665,-1.297
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 80}",flat,"{""sl_pct"": 3.0, ""tp_pct"": 6.0}",21,23.81,-21.77,-33.39,-2.618,0.507,5.682,-3.209
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 80}",atr,"{""atr_window"": 14, ""sl_mult"": 1.0, ""tp_mult"": 2.0}",3859,1.66,-100.0,-100.0,-70.13,0.001,0.083,-0.302
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 80}",atr,"{""atr_window"": 14, ""sl_mult"": 1.5, ""tp_mult"": 3.0}",3211,5.08,-99.99,-99.99,-69.637,0.008,0.129,-0.318
BTCUSDC,RSI,1m,"{""window"": 10, ""buy_threshold"": 30, ""sell_threshold"": 80}",atr,"{""atr_window"": 14, ""sl_mult"": 2.0, ""tp_mult"": 4.0}",2693,8.39,-99.97,-99.97,-62.255,0.026,0.171,-0.34
BTCUSDC,RSI,1m,"{""window"": 14, ""buy_threshold"": 20, ""sell_threshold"": 70}",flat,"{""sl_pct"": 2.0, ""tp_pct"": 4.0}",42,30.95,-21.03,-29.03,-2.375,0.639,3.421,-2.294
BTCUSDC,RSI,1m,"{""window"": 14, ""buy_threshold"": 20, ""sell_threshold"": 70}",flat,"{""sl_pct"": 1.0, ""tp_pct"": 2.0}",85,31.76,-27.24,-30.75,-3.967,0.579,1.639,-1.297
BTCUSDC,RSI,1m,"{""window"": 14, ""buy_threshold"": 20, ""sell_threshold"": 70}",flat,"{""sl_pct"": 3.0, ""tp_pct"": 6.0}",21,28.57,-19.96,-31.36,-2.365,0.539,4.783,-3.291
BTCUSDC,RSI,1m,"{""window"": 14, ""buy_threshold"": 20, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 1.0, ""tp_mult"": 2.0}",340,2.06,-63.43,-63.44,-21.212,0.007,0.121,-0.304
BTCUSDC,RSI,1m,"{""window"": 14, ""buy_threshold"": 20, ""sell_threshold"": 70}",atr,"{""atr_window"": 14, ""sl_mult"": 1.5, ""tp_mult"": 3.0}",309,8.09,-58.22,-58.23,-19.809,0.04,0.146,-0.32
